RoutePair,TotalPax,cumulative_pax,cumulative_pct,route_rank
DELHI - RAJKOT INTERNATIONAL AIRPORT,505510.0,1258730972.0,93.11670524933837,296
DEHRA DUN - LUCKNOW,495929.0,1259226901.0,93.15339241724385,297
AHMEDABAD - BHUBANESWAR,491877.0,1259718778.0,93.18977983174844,298
VIJAYAWADA - VISAKHAPATNAM,491651.0,1260210429.0,93.2261505275293,299
HYDERABAD - TIRUCHIRAPALLY,487897.0,1260698326.0,93.26224351495206,300
BHOPAL - HYDERABAD,482877.0,1261181203.0,93.29796513957311,301
DURGAPUR - HYDERABAD,478784.0,1261659987.0,93.33338397775047,302
CHANDIGARH - LUCKNOW,478342.0,1262138329.0,93.36877011824689,303
"GOA (DABOLIM, SOUTH GOA) - MUMBAI (MUMBAI)",472308.0,1262610637.0,93.40370988361471,304
GUWAHATI - LUCKNOW,466571.0,1263077208.0,93.43822524492012,305
CHENNAI - SURAT,466269.0,1263543477.0,93.47271826527611,306
AIZAWL - DELHI,466147.0,1264009624.0,93.50720226048035,307
DURGAPUR - MUMBAI,465645.0,1264475269.0,93.5416491194044,308
CHENNAI - DURGAPUR,464576.0,1264939845.0,93.57601689728563,309
JAIPUR - LUCKNOW,461323.0,1265401168.0,93.61014402911229,310
GUWAHATI - PUNE,460354.0,1265861522.0,93.64419947756149,311
HYDERABAD - JODHPUR,459847.0,1266321369.0,93.67821741984724,312
DELHI - JAISALMER,453169.0,1266774538.0,93.71174134603942,313
GAYA - KOLKATA,449925.0,1267224463.0,93.74502529196691,314
AHMEDABAD - BAGDOGRA,443486.0,1267667949.0,93.77783290222106,315
DARBHANGA - HYDERABAD,436973.0,1268104922.0,93.8101587025295,316
BELGAUM - HYDERABAD,435573.0,1268540495.0,93.84238093552273,317
GOA - INDORE,434973.0,1268975468.0,93.87455878252372,318
DABOLIM - RAIPUR,434111.0,1269409579.0,93.9066728616492,319
HYDERABAD - SRINAGAR,433297.0,1269842876.0,93.93872672377853,320
BAGDOGRA  - DELHI,433010.0,1270275886.0,93.97075935460826,321
AMRITSAR - PUNE,432656.0,1270708542.0,94.00276579770257,322
AYODHYA INTERNATIONAL AIRPORT  - MUMBAI,429735.0,1271138277.0,94.03455615499135,323
AMRITSAR - KOLKATA,427828.0,1271566105.0,94.06620543880145,324
DELHI - GWALIOR,427484.0,1271993589.0,94.09782927464269,325
HYDERABAD - KOZHIKODE,421885.0,1272415474.0,94.12903891519973,326
DABOLIM - KOCHI,419228.0,1272834702.0,94.1600519997878,327
BENGALURU - TIRUPATI,418386.0,1273253088.0,94.19100279603344,328
BELGAUM - MUMBAI,417258.0,1273670346.0,94.22187014661368,329
JAIPUR  - MUMBAI (MUMBAI),416177.0,1274086523.0,94.25265752843124,330
KOCHI - MUMBAI (MUMBAI),414401.0,1274500924.0,94.28331352771178,331
BHUBANESWAR - GUWAHATI,413874.0,1274914798.0,94.31393054129582,332
HUBLI - MUMBAI,412498.0,1275327296.0,94.34444576300433,333
"DELHI - GOA (DABOLIM, SOUTH GOA)",409400.0,1275736696.0,94.37473180503957,334
HYDERABAD - KANNUR,407311.0,1276144007.0,94.40486330984521,335
LEH - SRINAGAR,402521.0,1276546528.0,94.43464046647951,336
BENGALURU - GWALIOR,399808.0,1276946336.0,94.46421692445223,337
AMRITSAR - HYDERABAD,399664.0,1277346000.0,94.49378272978682,338
"DELHI - GOA (MOPA, NORTH GOA)",396034.0,1277742034.0,94.52307999986837,339
AYODHYA INTERNATIONAL AIRPORT  - BENGALURU,395541.0,1278137575.0,94.55234079945966,340
CHENNAI - JODHPUR,392638.0,1278530213.0,94.58138684482518,341
MUMBAI - TIRUPATI,389209.0,1278919422.0,94.61017922424506,342
CHANDIGARH - PATNA,384655.0,1279304077.0,94.63863471398388,343
KANDLA - MUMBAI,382155.0,1279686232.0,94.66690526208839,344
GWALIOR - MUMBAI,381282.0,1280067514.0,94.6951112285742,345
INDORE - JAIPUR,378462.0,1280445976.0,94.7231085808965,346
MUMBAI - PORT BLAIR,368735.0,1280814711.0,94.75038636230802,347
CHENNAI - RAJAHMUNDRY,364185.0,1281178896.0,94.77732754994507,348
AHMEDABAD - RAIPUR,363060.0,1281541956.0,94.80418551384669,349
INDORE - LUCKNOW,362057.0,1281904013.0,94.83096927916462,350
